,YEAR,SEX,AGE_GROUP,deaths,rate
526,1992,Females,70–74,2.0,0.7
527,1992,Females,75–79,3.0,1.3
528,1992,Females,80–84,0.0,0.0
529,1992,Females,85+,0.0,0.0
530,1992,Females,Missing,0.0,
531,1993,Males,0–4,34.0,5.1
532,1993,Males,5–9,17.0,2.6
533,1993,Males,10–14,4.0,0.6
534,1993,Males,15–19,24.0,3.6
535,1993,Males,20–24,17.0,2.3
536,1993,Males,25–29,21.0,3.1
537,1993,Males,30–34,12.0,1.6
538,1993,Males,35–39,15.0,2.2
539,1993,Males,40–44,20.0,3.1
540,1993,Males,45–49,16.0,2.7
541,1993,Males,50–54,10.0,2.2
542,1993,Males,55–59,9.0,2.4
543,1993,Males,60–64,4.0,1.1
544,1993,Males,65–69,9.0,2.7
545,1993,Males,70–74,9.0,3.6
546,1993,Males,75–79,4.0,2.5
547,1993,Males,80–84,0.0,0.0
548,1993,Males,85+,1.0,2.0
549,1993,Males,Missing,0.0,
550,1993,Females,0–4,21.0,3.3
551,1993,Females,5–9,1.0,0.2
552,1993,Females,10–14,1.0,0.2
553,1993,Females,15–19,3.0,0.5
554,1993,Females,20–24,2.0,0.3
555,1993,Females,25–29,4.0,0.6
556,1993,Females,30–34,1.0,0.1
557,1993,Females,35–39,3.0,0.4
558,1993,Females,40–44,2.0,0.3
559,1993,Females,45–49,0.0,0.0
560,1993,Females,50–54,4.0,0.9
561,1993,Females,55–59,1.0,0.3
562,1993,Females,60–64,0.0,0.0
563,1993,Females,65–69,4.0,1.1
564,1993,Females,70–74,10.0,3.3
565,1993,Females,75–79,1.0,0.4
566,1993,Females,80–84,3.0,1.9
567,1993,Females,85+,1.0,0.8
568,1994,Males,0–4,36.0,5.4
569,1994,Males,5–9,8.0,1.2
570,1994,Males,10–14,5.0,0.8
571,1994,Males,15–19,14.0,2.1
572,1994,Males,20–24,17.0,2.3
573,1994,Males,25–29,21.0,3.1
574,1994,Males,30–34,18.0,2.5
575,1994,Males,35–39,19.0,2.7
576,1994,Males,40–44,12.0,1.8
577,1994,Males,45–49,16.0,2.6
578,1994,Males,50–54,10.0,2.1
579,1994,Males,55–59,7.0,1.8
580,1994,Males,60–64,8.0,2.3
581,1994,Males,65–69,5.0,1.5
582,1994,Males,70–74,8.0,3.0
583,1994,Males,75–79,4.0,2.5
584,1994,Males,80–84,1.0,1.0
585,1994,Males,85+,0.0,0.0
586,1994,Males,Missing,0.0,
587,1994,Females,0–4,12.0,1.9
588,1994,Females,5–9,3.0,0.5
589,1994,Females,10–14,0.0,0.0
590,1994,Females,15–19,1.0,0.2
591,1994,Females,20–24,4.0,0.6
592,1994,Females,25–29,2.0,0.3
593,1994,Females,30–34,1.0,0.1
594,1994,Females,35–39,2.0,0.3
595,1994,Females,40–44,4.0,0.6
596,1994,Females,45–49,4.0,0.7
597,1994,Females,50–54,0.0,0.0
598,1994,Females,55–59,0.0,0.0
599,1994,Females,60–64,1.0,0.3
600,1994,Females,65–69,1.0,0.3
601,1994,Females,70–74,4.0,1.3
602,1994,Females,75–79,1.0,0.4
603,1994,Females,80–84,1.0,0.6
604,1994,Females,85+,0.0,0.0
605,1994,Females,Missing,0.0,
606,1995,Males,0–4,41.0,6.2
607,1995,Males,5–9,6.0,0.9
608,1995,Males,10–14,3.0,0.5
609,1995,Males,15–19,5.0,0.8
610,1995,Males,20–24,29.0,4.0
611,1995,Males,25–29,17.0,2.5
612,1995,Males,30–34,16.0,2.2
613,1995,Males,35–39,9.0,1.3
614,1995,Males,40–44,14.0,2.1
